Reference,Spec_Binom,Family,Class,Place,Lon,Lat,Place_Notes,Start,End,,Notes
"Marshall & McWilliams, 1982",Micropteropus_pusillus,Pteropodidae,1,point,-1.75,10,Mole National Park N.E. Ghana,9,10,,End of rains
Walker's bats of the world,Micropteropus_pusillus,Pteropodidae,1,poly,29.51,4.18,Garamba National Park Zaire,3,3,,
Walker's bats of the world,Micropteropus_pusillus,Pteropodidae,1,poly,29.51,4.18,Garamba National Park Zaire,11,13,,
"Bergmans, 1976",Myonycteris_torquata,Pteropodidae,1,Poly,10.19,-1.13,Gabon*Averaged from shapefile centroids,12,2,,Captive derived from Brossett 66
"Bergmans, 1976",Myonycteris_torquata,Pteropodidae,1,poly,10.19,-1.13,Gabon*Averaged from shapefile centroids,6,7,,Captive derived from Brossett 67
"Thomas, 1983",Myonycteris_leptodon,Pteropodidae,1,point,-7,5.3,Tai Foest,2,4,,
"Thomas, 1983",Myonycteris_leptodon,Pteropodidae,1,point,-5.02,6.13,Lamto,8,10,,
"Thomas, 1983",Myonycteris_leptodon,Pteropodidae,1,point,-5.02,6.13,Lamto,2,4,,
"Wolton et al., 1982",Myonycteris_leptodon,Pteropodidae,1,point,-8.41,7.62,,8,10,,
"Wolton et al., 1982",Nanonycteris_veldkampi,Pteropodidae,1,point,-8.41,7.62,,11,12,,
"Marshall & McWilliams, 1982",Nanonycteris_veldkampi,Pteropodidae,1,point,1.75,10,Mole National Park N.E. Ghana,5,6,,"additional cite Mickleburgh et al., 1992"
"Hertzig-Straschil & Robinson, 1978",Rousettus_aegyptiacus,Pteropodidae,1,point,23.54,-33.98,"Tsitsikama Coastal National Park, South Africa* Fixed to be on land",11,12,,
"Jacobsen & Du Plessis, 1976",Rousettus_aegyptiacus,Pteropodidae,1,poly,27.26,-25.66,"Taransvaal, South Africa (point taken from town on Google Maps)",11,12,,
"Penzhorn & Rautenbach, 1988",Rousettus_aegyptiacus,Pteropodidae,1,point,30.16,-22.25,,10,12,,
Adam & Le Pont,Rousettus_aegyptiacus,Pteropodidae,1,poly,12.86,-3.18,Congo*Averaged from shapefile centroids,8,9,,"Captured wild, gave birth in captivity"
Adam & Le Pont,Rousettus_aegyptiacus,Pteropodidae,1,poly,12.86,-3.18,Congo*Averaged from shapefile centroids,11,12,,"Captured wild, gave birth in captivity"
"Kingdon, 1974",Rousettus_aegyptiacus,Pteropodidae,1,pont,31.75,-0.33,Masaka,3,4,,
"Kingdon, 1974",Rousettus_aegyptiacus,Pteropodidae,1,pont,31.75,-0.33,Masaka,9,10,,
"Mutere, 1968 ",Rousettus_aegyptiacus,Pteropodidae,1,point,32,-0.22,"Kasokero, Uganda",3,4,,
"Mutere, 1968 ",Rousettus_aegyptiacus,Pteropodidae,1,point,32,-0.22,"Kasokero, Uganda",9,10,,
"Okia, 1987",Rousettus_aegyptiacus,Pteropodidae,1,point,32,0.22,Kasokero caves,3,4,,
"Okia, 1987",Rousettus_aegyptiacus,Pteropodidae,1,point,32,0.22,Kasokero caves,9,10,,
"Kingdon, 1974",Rousettus_aegyptiacus,Pteropodidae,1,pont,36.08,0.62,"Lake Baingo, Kenya",7,9,,
"Kingdon, 1974",Rousettus_aegyptiacus,Pteropodidae,1,pont,34.55,1.15,Mt. Elgon,3,4,,
"Kingdon, 1974",Rousettus_aegyptiacus,Pteropodidae,1,pont,34.55,1.15,Mt. Elgon,9,10,,
"Coe, 1975",Rousettus_aegyptiacus,Pteropodidae,1,poly,-8.31,7.31,Liberia,12,12,,
"Anderson & de Winton, 1902",Rousettus_aegyptiacus,Pteropodidae,1,poly,31.89,27.81,Egypt*Averaged from shapefile centroids,2,4,,
"Happold & Happold, 1990",Rhinolophus_basii,Rhinolophidae,3,point,34.5,-15.2,,11,1,,
"Bernard, 1985",Rhinolophus_capensis,Rhinolophidae,3,point,26.25,-33.17,Table far Cape Province S. Africa,11,12,,
"Bernard, 1983; Laycock 1978",Rhinolophus_clivosus,Rhinolophidae,3,point,30.19,-29.48,*point stolen from below,11,12,,*Not sure how to get a hold of
"Menzies, 1973",Rhinolophus_landeri,Rhinolophidae,3,point,4.58,10.5,Location now under water ,4,6,,
"Bernard, 1994",Miniopterus_natalensis,Miniopteridae,3,,25.17,-33.58,East cape Region,12,12,,
"Bernard, 1980",Miniopterus_natalensis,Miniopteridae,3,,19.36,-29,"**Infered from meta-data, point taken from Riemvasmaak communit conservacy in SouthAfrica",11,12,,
van der Merwe 1979,Miniopterus_natalensis,Miniopteridae,3,point,28.01,-24.37,Averavge of mines mentioned,11,12,,
"Bernard et al., 1996",Miniopterus_natalensis,Miniopteridae,3,point,29.25,-18.18,Empress Mine Zimbabwe,10,12,,
Bernard 1982b,Myotis_tricolor,Vespertilionidae,3,point,30.19,-29.48,Natal Midlands S. Africa,11,12,,
"van der Merwe, 2007",Neoromicia_nanus,Vespertilionidae,3,pont,31.3,-25.3,"Mpumalanga Lowveld, South Africa",11,12,,
"LaVal & LaVal, 1977",Neoromicia_nanus,Vespertilionidae,3,point,31.49,-28.55,Natal Port Durnford Forest Reserve,11,12,,
"Bernard et al., 1997",Neoromicia_nanus,Vespertilionidae,3,point,35.16,-15.2,Shire Highlands of se Malawi,11,12,,
"O'shea &Vaughan, 1980",Neoromicia_nanus,Vespertilionidae,3,point,38.7,-2.18,Masalani Kenya,11,12,,
"Van der Merwe & Rautenbach, 1990",Pipistrellus_rusticus,Vespertilionidae,3,point,28.09,-23.52,"Lapalala Wilderness Area, Vaakwater district S. Africa",11,12,,
"Van der Merwe et al, 1988",Scotophilus_borbonicus,Vespertilionidae,3,point,30.16,-22.25,Kruger National Park,11,12,,
"van der Merwe, 2006",Scotophilus_dinganii,Vespertilionidae,3,pont,30.16,-22.25,"Pafuri Region, Kruger National Park",11,12,,
"Okia, 1987",Scotophilus_dinganii,Vespertilionidae,3,point,32,0.22,Kasokero caves,4,5,,
"Okia, 1987",Scotophilus_dinganii,Vespertilionidae,3,point,32,0.22,Kasokero caves,11,12,,
